HEAD_ADDIN_LEVEL,HEAD_ADDIN_FILE_NAME,HEAD_TABLE_ID,HEAD_TABLE_NAME,HEAD_EZDB_FLG,HEAD_MSG_NAME,HEAD_COPY,HEAD_RECORD_LENGTH,HEAD_RECORD_COUNT,HEAD_DB_KBN,HEAD_DB_CHAR_CODE,HEAD_LANG_FLG,HEAD_DOC_ID,HEAD_KIND,HEAD_FOLDER,HEAD_FILE_NAME,HEAD_CSV_TIME_STAMP
XLA200710010c,LogicalDatabaseLayoutDefinition Document_AddIn_XLS200710010.xla,RTL_SWH,RTL_SWH,0,RTL_SWHTMsg,,519,,Oracle,1,E,RTL_SWH,02,C:\work\à¯âzÇµëŒè€ÉtÉ@ÉCÉã\CSA\NMZC6010 Warehouse Setup Update API,LogicalDatabaseLayoutDefinitionDocument(RTL_SWH).xlsm,20150422110209000
BODY_NO,BODY_DATA_NAME,BODY_ENGLISH_NAME,BODY_DB_ENGLISH_NAME,BODY_TAIL,BODY_TYPE,BODY_DB_TYPE,BODY_DB_TYPE_FLG,BODY_COBOL_TYPE,BODY_KETA,BODY_KOKETA,BODY_DB_KEY,BODY_INDEX01,BODY_INDEX02,BODY_INDEX03,BODY_INDEX04,BODY_INDEX05,BODY_INDEX06,BODY_DEFAULT,BODY_DESCRIPTION,BODY_NOTE,BODY_LEVEL,BODY_MEISAI_NUM,BODY_LIST_NUM,BODY_MSG,BODY_HISSU,BODY_NUM_MIN,BODY_NUM_MAX,BODY_IO,BODY_NUM_YEN,BODY_NUM_COMMA,BODY_NUM_ZERO,BODY_NUM_PLUS,BODY_NUM_DSP_KETA,BODY_NUM_DSP_KOKETA,BODY_DATE_BUN,BODY_DATE_NEN,BODY_DATE_ZERO,BODY_DATE_SEP
1,_EZTableID,ezTableID,EZTABLEID,,32,VARCHAR2,0,X(28),28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,_EZCancelFlag,ezCancelFlag,EZCANCELFLAG,,32,VARCHAR2,0,X(1),1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
3,_EZRegistrationDateTime,ezInTime,EZINTIME,,32,VARCHAR2,0,X(17),17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,_EZInTimeZone,ezInTimeZone,EZINTIMEZONE,,32,VARCHAR2,0,X(5),5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,_EZInCompanyCode,ezInCompanyCode,EZINCOMPANYCODE,,32,VARCHAR2,0,X(4),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,_EZInUserID,ezInUserID,EZINUSERID,,32,VARCHAR2,0,X(16),16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,_EZInAplID,ezInAplID,EZINAPLID,,32,VARCHAR2,0,X(64),64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,_EZUpdateDateTime,ezUpTime,EZUPTIME,,32,VARCHAR2,0,X(17),17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,_EZUpTimeZone,ezUpTimeZone,EZUPTIMEZONE,,32,VARCHAR2,0,X(5),5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,_EZUpCompanyCode,ezUpCompanyCode,EZUPCOMPANYCODE,,32,VARCHAR2,0,X(4),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,_EZUpdateUserID,ezUpUserID,EZUPUSERID,,32,VARCHAR2,0,X(16),16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,_EZUpdateApplicationID,ezUpAplID,EZUPAPLID,,40,NVARCHAR2,0,N(64),64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,GLBL_CMPY_CD,glblCmpyCd,GLBL_CMPY_CD,,32,VARCHAR2,0,X(4),4,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,RTL_WH_CD,rtlWhCd,RTL_WH_CD,,32,VARCHAR2,0,X(20),20,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,RTL_SWH_CD,rtlSwhCd,RTL_SWH_CD,,32,VARCHAR2,0,X(20),20,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,RTL_SWH_NM,rtlSwhNm,RTL_SWH_NM,,32,VARCHAR2,0,X(30),30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,RTL_WH_CATG_CD,rtlWhCatgCd,RTL_WH_CATG_CD,,32,VARCHAR2,0,X(2),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,INVTY_LOC_CD,invtyLocCd,INVTY_LOC_CD,,32,VARCHAR2,0,X(20),20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PTY_LOC_PK,ptyLocPk,PTY_LOC_PK,,10,NUMBER,,S9(28) COMP-3,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,DEF_SRC_PROCR_TP_CD,defSrcProcrTpCd,DEF_SRC_PROCR_TP_CD,,32,VARCHAR2,0,X(2),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,DEF_SRC_LOC_CD,defSrcLocCd,DEF_SRC_LOC_CD,,32,VARCHAR2,0,X(20),20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,DEF_SRC_SWH_CD,defSrcSwhCd,DEF_SRC_SWH_CD,,32,VARCHAR2,0,X(20),20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,DEF_RTRN_TO_PROCR_TP_CD,defRtrnToProcrTpCd,DEF_RTRN_TO_PROCR_TP_CD,,32,VARCHAR2,0,X(2),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,DEF_RTRN_TO_LOC_CD,defRtrnToLocCd,DEF_RTRN_TO_LOC_CD,,32,VARCHAR2,0,X(20),20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,DEF_RTRN_TO_SWH_CD,defRtrnToSwhCd,DEF_RTRN_TO_SWH_CD,,32,VARCHAR2,0,X(20),20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PRTY_LOC_FLG,prtyLocFlg,PRTY_LOC_FLG,,32,VARCHAR2,0,X(1),1,,,,,,,,,N',,,,,,,,,,,,,,,,,,,,
27,RTL_SWH_DSBL_FLG,rtlSwhDsblFlg,RTL_SWH_DSBL_FLG,,32,VARCHAR2,0,X(1),1,,,,,,,,,N',,,,,,,,,,,,,,,,,,,,
28,EFF_FROM_DT,effFromDt,EFF_FROM_DT,,50,VARCHAR2,0,X(8),8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,EFF_THRU_DT,effThruDt,EFF_THRU_DT,,50,VARCHAR2,0,X(8),8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,MRP_ENBL_FLG,mrpEnblFlg,MRP_ENBL_FLG,,32,VARCHAR2,0,X(1),1,,,,,,,,,N',,,,,,,,,,,,,,,,,,,,
